<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNYRUB;D;20221206;0;8.8457118;;;8.9354978;
CNYRUB;D;20221206;0;8.9714122;;;9.0360580;
CNYRUB;D;20221206;0;9.0504238;;;9.0719724;
CNYRUB;D;20221206;0;9.0504238;;;9.0647895;
CNYRUB;D;20221206;0;9.0647895;;;9.0251152;
CNYRUB;D;20221206;0;9.0152168;;;9.0199679;
CNYRUB;D;20221206;0;8.9737597;;;9.0196584;
CNYRUB;D;20221206;0;9.0755014;;;9.0438310;
CNYRUB;D;20221206;0;9.0438310;;;9.0409801;
CNYRUB;D;20221206;0;9.0409801;;;9.0297237;
CNYRUB;D;20221206;0;9.0297237;;;9.0032325;
CNYRUB;D;20221206;0;9.0032325;;;9.0033612;
CNYRUB;D;20221206;0;9.0033612;;;9.0230050;
CNYRUB;D;20221206;0;9.0386900;;;9.0192487;
CNYRUB;D;20221206;0;8.8849925;;;9.0296349;
CNYRUB;D;20221206;0;9.0288594;;;9.0186602;
CNYRUB;D;20221206;0;9.0186602;;;9.0651319;
CNYRUB;D;20221207;0;8.9225710;;;8.9225710;
CNYRUB;D;20221207;0;8.9225710;;;8.9225710;
CNYRUB;D;20221207;0;8.9225710;;;8.9225710;
CNYRUB;D;20221207;0;8.8685208;;;8.8685208;
CNYRUB;D;20221207;0;8.6866376;;;8.8291985;
CNYRUB;D;20221207;0;9.0430403;;;9.0362308;
CNYRUB;D;20221207;0;9.0286827;;;9.0425761;
CNYRUB;D;20221207;0;9.0503898;;;9.0252811;
CNYRUB;D;20221207;0;9.0234190;;;9.0339029;
CNYRUB;D;20221207;0;9.0339029;;;9.0597225;
CNYRUB;D;20221207;0;9.0597225;;;9.0124943;
CNYRUB;D;20221207;0;9.0622134;;;9.0044270;
CNYRUB;D;20221207;0;9.0044270;;;8.8693147;
CNYRUB;D;20221207;0;8.9725213;;;8.9595632;
CNYRUB;D;20221207;0;9.0412392;;;9.0437014;
CNYRUB;D;20221207;0;9.0437014;;;9.0406364;
CNYRUB;D;20221207;0;9.0406364;;;8.9860806;
CNYRUB;D;20221207;0;8.9866269;;;8.9673118;
CNYRUB;D;20221208;0;8.8909284;;;8.8950102;
CNYRUB;D;20221208;0;8.8950102;;;9.0097845;
CNYRUB;D;20221208;0;9.0169579;;;9.0384781;
CNYRUB;D;20221208;0;9.0313047;;;9.0097845;
CNYRUB;D;20221208;0;9.0241313;;;9.0308743;
CNYRUB;D;20221208;0;9.0308743;;;8.9739175;
CNYRUB;D;20221208;0;8.9595707;;;8.9950073;
CNYRUB;D;20221208;0;8.9950073;;;8.9782216;
CNYRUB;D;20221208;0;8.9648544;;;9.0079979;
CNYRUB;D;20221208;0;9.0094184;;;8.9218931;
CNYRUB;D;20221208;0;8.9998997;;;9.0092893;
CNYRUB;D;20221208;0;9.0092893;;;9.0073840;
CNYRUB;D;20221208;0;9.0073840;;;9.0163981;
CNYRUB;D;20221208;0;9.0160101;;;9.0234420;
CNYRUB;D;20221208;0;9.0585282;;;8.9523973;
CNYRUB;D;20221209;0;8.9167862;;;8.9513700;
CNYRUB;D;20221209;0;8.9513700;;;8.9522689;
CNYRUB;D;20221209;0;8.9780928;;;8.9764186;
CNYRUB;D;20221209;0;8.9864593;;;8.9983509;
CNYRUB;D;20221209;0;9.0055209;;;9.0009324;
CNYRUB;D;20221209;0;8.9946635;;;8.9773950;
CNYRUB;D;20221209;0;8.9630427;;;8.9626121;
CNYRUB;D;20221209;0;8.9626121;;;8.9491594;
CNYRUB;D;20221209;0;8.9491594;;;9.0018521;
CNYRUB;D;20221209;0;9.0018521;;;8.9910839;
CNYRUB;D;20221209;0;8.8479375;;;8.8515269;
CNYRUB;D;20221209;0;8.9717010;;;8.9874944;
CNYRUB;D;20221209;0;8.9874944;;;8.9839050;
CNYRUB;D;20221209;0;8.9839050;;;8.9735675;
CNYRUB;D;20221209;0;8.9735675;;;8.9735675;
CNYRUB;D;20221209;0;8.9887042;;;8.9937116;
CNYRUB;D;20221209;0;8.8736956;;;8.9797560;
CNYRUB;D;20221209;0;8.9794980;;;8.9815626;
CNYRUB;D;20221209;0;8.9806593;;;8.9840156;
CNYRUB;D;20221210;0;8.9840156;;;8.9849197;
CNYRUB;D;20221210;0;8.9837574;;;8.9889256;
CNYRUB;D;20221212;0;8.9890549;;;8.9966892;
CNYRUB;D;20221212;0;8.9937116;;;8.9930645;
CNYRUB;D;20221212;0;8.9930645;;;8.9938410;
CNYRUB;D;20221212;0;8.9924176;;;8.9911240;
CNYRUB;D;20221212;0;8.9911240;;;8.9928833;
CNYRUB;D;20221212;0;9.0072604;;;9.0071309;
CNYRUB;D;20221212;0;8.9836282;;;9.0000719;
CNYRUB;D;20221212;0;8.9995543;;;9.0067425;
CNYRUB;D;20221212;0;9.0067425;;;8.8356647;
CNYRUB;D;20221212;0;8.9919349;;;8.8450093;
CNYRUB;D;20221212;0;9.0063112;;;9.0134993;
CNYRUB;D;20221212;0;9.0134993;;;9.0170934;
CNYRUB;D;20221212;0;8.9853162;;;9.0033223;
CNYRUB;D;20221212;0;9.0019337;;;9.0123899;
CNYRUB;D;20221212;0;9.0123899;;;9.0190427;
CNYRUB;D;20221212;0;9.0325632;;;8.8716266;
CNYRUB;D;20221212;0;8.9938802;;;8.8859588;
CNYRUB;D;20221212;0;8.9217892;;;8.9217892;
