<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURRUB;60;20221206;010000;65.6180000;65.6520000;65.6120000;65.6500000;12
EURRUB;60;20221206;020000;65.6370000;65.6550000;65.6230000;65.6550000;8
EURRUB;60;20221206;050000;64.8340000;64.8830000;64.8340000;64.8640000;5
EURRUB;60;20221206;060000;64.6800000;65.3140000;64.6800000;65.3140000;3
EURRUB;60;20221206;070000;65.3330000;65.3330000;64.9100000;64.9210000;7
EURRUB;60;20221206;080000;65.5480000;66.1920000;65.5480000;65.9940000;12
EURRUB;60;20221206;090000;65.9810000;66.1890000;65.8470000;66.1890000;12
EURRUB;60;20221206;100000;66.1700000;66.1700000;65.8810000;66.1680000;12
EURRUB;60;20221206;110000;66.5450000;66.5700000;66.0380000;66.2170000;12
EURRUB;60;20221206;120000;66.2820000;66.4830000;65.6430000;66.1500000;12
EURRUB;60;20221206;130000;66.1470000;66.3770000;65.7030000;66.3600000;12
EURRUB;60;20221206;140000;66.4900000;66.4900000;66.0890000;66.2570000;12
EURRUB;60;20221206;150000;66.2180000;66.3500000;66.2180000;66.3500000;12
EURRUB;60;20221206;160000;66.3530000;66.4460000;66.3450000;66.4100000;12
EURRUB;60;20221206;170000;66.3860000;66.3860000;66.1240000;66.1700000;11
EURRUB;60;20221206;180000;66.1590000;66.1920000;66.0830000;66.0850000;12
EURRUB;60;20221206;190000;66.0510000;66.3260000;66.0340000;66.3260000;12
EURRUB;60;20221206;200000;66.3580000;66.4670000;66.1090000;66.1090000;12
EURRUB;60;20221206;210000;66.1310000;66.1310000;66.0410000;66.1080000;12
EURRUB;60;20221206;220000;66.0760000;66.0920000;65.9940000;65.9940000;12
EURRUB;60;20221206;230000;66.0030000;66.3500000;65.9730000;66.3290000;12
EURRUB;60;20221207;000000;66.3410000;66.3690000;66.3210000;66.3620000;12
EURRUB;60;20221207;010000;66.3550000;66.3590000;66.3420000;66.3510000;12
EURRUB;60;20221207;020000;66.7530000;66.7560000;66.7370000;66.7370000;10
EURRUB;60;20221207;030000;64.2390000;65.3370000;64.2350000;65.3370000;10
EURRUB;60;20221207;040000;65.3080000;65.3220000;65.2910000;65.2910000;5
EURRUB;60;20221207;050000;64.8620000;64.9500000;64.8620000;64.9500000;6
EURRUB;60;20221207;060000;64.4120000;64.4340000;64.4120000;64.4130000;6
EURRUB;60;20221207;080000;66.1870000;66.1870000;66.1230000;66.1340000;9
EURRUB;60;20221207;090000;66.1270000;66.1460000;66.0020000;66.0270000;12
EURRUB;60;20221207;100000;66.0080000;66.0580000;65.9160000;65.9160000;10
EURRUB;60;20221207;110000;65.4810000;66.1240000;65.4810000;65.9560000;9
EURRUB;60;20221207;120000;65.7960000;66.2180000;65.7960000;66.2150000;12
EURRUB;60;20221207;130000;66.1800000;66.2080000;65.9830000;66.1400000;12
EURRUB;60;20221207;140000;66.1990000;66.4510000;66.0330000;66.3650000;12
EURRUB;60;20221207;150000;66.1620000;66.2610000;65.8670000;65.8670000;12
EURRUB;60;20221207;160000;65.9550000;66.5060000;65.9550000;66.4080000;12
EURRUB;60;20221207;170000;66.4580000;66.5220000;66.3310000;66.5220000;12
EURRUB;60;20221207;180000;66.4940000;66.4940000;66.2420000;66.3170000;11
EURRUB;60;20221207;190000;66.3400000;66.3880000;66.0510000;66.0870000;12
EURRUB;60;20221207;200000;66.0960000;66.1200000;66.0570000;66.1000000;12
EURRUB;60;20221207;210000;65.6730000;65.7700000;65.6700000;65.7700000;12
EURRUB;60;20221207;220000;65.7980000;65.8250000;65.4280000;65.4330000;9
EURRUB;60;20221208;000000;66.7040000;66.7310000;66.7040000;66.7270000;6
EURRUB;60;20221208;010000;66.7410000;66.7410000;66.5970000;66.5970000;12
EURRUB;60;20221208;020000;65.3240000;65.5170000;65.3240000;65.5060000;8
EURRUB;60;20221208;060000;65.1340000;65.1340000;65.0950000;65.0950000;2
EURRUB;60;20221208;070000;65.0920000;66.0050000;65.0920000;66.0050000;8
EURRUB;60;20221208;080000;65.9890000;66.0680000;65.8800000;66.0680000;11
EURRUB;60;20221208;090000;66.0630000;66.1230000;66.0630000;66.1230000;7
EURRUB;60;20221208;100000;66.1640000;66.1830000;66.0870000;66.0870000;9
EURRUB;60;20221208;110000;65.7300000;66.3970000;65.7300000;66.2260000;12
