<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TRYRUB;D;20221206;0;3.3062178;;;3.3392387;
TRYRUB;D;20221206;0;3.3518018;;;3.3780155;
TRYRUB;D;20221206;0;3.3835968;;;3.3909682;
TRYRUB;D;20221206;0;3.3831879;;;3.3877921;
TRYRUB;D;20221206;0;3.3853748;;;3.3731745;
TRYRUB;D;20221206;0;3.3718302;;;3.3758718;
TRYRUB;D;20221206;0;3.3620312;;;3.3796916;
TRYRUB;D;20221206;0;3.4010534;;;3.3871637;
TRYRUB;D;20221206;0;3.3867765;;;3.3873219;
TRYRUB;D;20221206;0;3.3874292;;;3.3860513;
TRYRUB;D;20221206;0;3.3859768;;;3.3776935;
TRYRUB;D;20221206;0;3.3772640;;;3.3775467;
TRYRUB;D;20221206;0;3.3775286;;;3.3838931;
TRYRUB;D;20221206;0;3.3881563;;;3.3816435;
TRYRUB;D;20221206;0;3.3308829;;;3.3848350;
TRYRUB;D;20221206;0;3.3848695;;;3.3851257;
TRYRUB;D;20221206;0;3.3851420;;;3.4028043;
TRYRUB;D;20221207;0;3.3495479;;;3.3504669;
TRYRUB;D;20221207;0;3.3504201;;;3.3496522;
TRYRUB;D;20221207;0;3.3505532;;;3.3502097;
TRYRUB;D;20221207;0;3.3298686;;;3.3300760;
TRYRUB;D;20221207;0;3.2631518;;;3.3148124;
TRYRUB;D;20221207;0;3.3950750;;;3.3897212;
TRYRUB;D;20221207;0;3.3858094;;;3.3887837;
TRYRUB;D;20221207;0;3.3909390;;;3.3834687;
TRYRUB;D;20221207;0;3.3819716;;;3.3865434;
TRYRUB;D;20221207;0;3.3867507;;;3.3940660;
TRYRUB;D;20221207;0;3.3944233;;;3.3771268;
TRYRUB;D;20221207;0;3.3961476;;;3.3745510;
TRYRUB;D;20221207;0;3.3775795;;;3.3210065;
TRYRUB;D;20221207;0;3.3592164;;;3.3545788;
TRYRUB;D;20221207;0;3.3851629;;;3.3847271;
TRYRUB;D;20221207;0;3.3848215;;;3.3843628;
TRYRUB;D;20221207;0;3.3844372;;;3.3643546;
TRYRUB;D;20221207;0;3.3659566;;;3.3563720;
TRYRUB;D;20221208;0;3.3268406;;;3.3279924;
TRYRUB;D;20221208;0;3.3277852;;;3.3705091;
TRYRUB;D;20221208;0;3.3752324;;;3.3823687;
TRYRUB;D;20221208;0;3.3779795;;;3.3694783;
TRYRUB;D;20221208;0;3.3754106;;;3.3781086;
TRYRUB;D;20221208;0;3.3801675;;;3.3584632;
TRYRUB;D;20221208;0;3.3529607;;;3.3656693;
TRYRUB;D;20221208;0;3.3658192;;;3.3585033;
TRYRUB;D;20221208;0;3.3544514;;;3.3723619;
TRYRUB;D;20221208;0;3.3722190;;;3.3424466;
TRYRUB;D;20221208;0;3.3722998;;;3.3722715;
TRYRUB;D;20221208;0;3.3733159;;;3.3718799;
TRYRUB;D;20221208;0;3.3725659;;;3.3709601;
TRYRUB;D;20221208;0;3.3709131;;;3.3732530;
TRYRUB;D;20221208;0;3.3863684;;;3.3472085;
TRYRUB;D;20221209;0;3.3336641;;;3.3471367;
TRYRUB;D;20221209;0;3.3471008;;;3.3473127;
TRYRUB;D;20221209;0;3.3580239;;;3.3573502;
TRYRUB;D;20221209;0;3.3620020;;;3.3670305;
TRYRUB;D;20221209;0;3.3693825;;;3.3666150;
TRYRUB;D;20221209;0;3.3638855;;;3.3569636;
TRYRUB;D;20221209;0;3.3532002;;;3.3502688;
TRYRUB;D;20221209;0;3.3506319;;;3.3456611;
TRYRUB;D;20221209;0;3.3456880;;;3.3648546;
TRYRUB;D;20221209;0;3.3653134;;;3.3613346;
TRYRUB;D;20221209;0;3.3077729;;;3.3081719;
TRYRUB;D;20221209;0;3.3539695;;;3.3639109;
TRYRUB;D;20221209;0;3.3610337;;;3.3572452;
TRYRUB;D;20221209;0;3.3561828;;;3.3527525;
TRYRUB;D;20221209;0;3.3549319;;;3.3533965;
TRYRUB;D;20221209;0;3.3518885;;;3.3533137;
TRYRUB;D;20221209;0;3.3080956;;;3.3530583;
TRYRUB;D;20221209;0;3.3533911;;;3.3533281;
TRYRUB;D;20221209;0;3.3536592;;;3.3533641;
TRYRUB;D;20221210;0;3.3533515;;;3.3534181;
TRYRUB;D;20221210;0;3.3548041;;;3.3534487;
TRYRUB;D;20221212;0;3.3532813;;;3.3520997;
TRYRUB;D;20221212;0;3.3524108;;;3.3517636;
TRYRUB;D;20221212;0;3.3530744;;;3.3530547;
TRYRUB;D;20221212;0;3.3527309;;;3.3533641;
TRYRUB;D;20221212;0;3.3524108;;;3.3553465;
TRYRUB;D;20221212;0;3.3621788;;;3.3615691;
TRYRUB;D;20221212;0;3.3536250;;;3.3565144;
TRYRUB;D;20221212;0;3.3609475;;;3.3636320;
TRYRUB;D;20221212;0;3.3633069;;;3.2972793;
TRYRUB;D;20221212;0;3.3555492;;;3.3021217;
TRYRUB;D;20221212;0;3.3623878;;;3.3637354;
TRYRUB;D;20221212;0;3.3647102;;;3.3652572;
TRYRUB;D;20221212;0;3.3652572;;;3.3731604;
TRYRUB;D;20221212;0;3.3735422;;;3.3742812;
TRYRUB;D;20221212;0;3.3774002;;;3.3755702;
TRYRUB;D;20221212;0;3.3822606;;;3.3234721;
TRYRUB;D;20221212;0;3.3692343;;;3.3308298;
TRYRUB;D;20221212;0;3.3418369;;;3.3510621;
