<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCNY;60;20221206;010000;6.9610000;6.9610000;6.9610000;6.9610000;7
USDCNY;60;20221206;020000;6.9610000;6.9610000;6.9610000;6.9610000;3
USDCNY;60;20221206;030000;6.9610000;6.9610000;6.9610000;6.9610000;6
USDCNY;60;20221206;040000;6.9610000;6.9610000;6.9610000;6.9610000;1
USDCNY;60;20221206;050000;6.9610000;6.9649000;6.9548000;6.9639000;62
USDCNY;60;20221206;060000;6.9660000;6.9796000;6.9563000;6.9712000;101
USDCNY;60;20221206;070000;6.9740000;6.9810000;6.9679000;6.9792000;170
USDCNY;60;20221206;080000;6.9800000;6.9805000;6.9759000;6.9768000;180
USDCNY;60;20221206;090000;6.9768000;6.9833000;6.9735000;6.9790000;207
USDCNY;60;20221206;100000;6.9790000;6.9940000;6.9770000;6.9877000;231
USDCNY;60;20221206;110000;6.9877000;6.9971000;6.9859000;6.9916000;280
USDCNY;60;20221206;120000;6.9916000;6.9994000;6.9855000;6.9915000;281
USDCNY;60;20221206;130000;6.9915000;6.9925000;6.9868000;6.9898000;219
USDCNY;60;20221206;170000;6.9863000;6.9887000;6.9855000;6.9875000;27
USDCNY;60;20221206;180000;6.9865000;6.9873000;6.9826000;6.9850000;16
USDCNY;60;20221206;190000;6.9856000;6.9935000;6.9843000;6.9935000;11
USDCNY;60;20221206;220000;6.9935000;6.9935000;6.9935000;6.9935000;4
USDCNY;60;20221206;230000;6.9935000;6.9935000;6.9935000;6.9935000;5
USDCNY;60;20221207;000000;6.9935000;6.9935000;6.9935000;6.9935000;8
USDCNY;60;20221207;010000;6.9935000;6.9935000;6.9935000;6.9935000;5
USDCNY;60;20221207;020000;6.9935000;6.9935000;6.9935000;6.9935000;3
USDCNY;60;20221207;030000;6.9935000;6.9935000;6.9935000;6.9935000;6
USDCNY;60;20221207;050000;6.9888000;6.9940000;6.9808000;6.9830000;76
USDCNY;60;20221207;060000;6.9833000;6.9858000;6.9731000;6.9781000;174
USDCNY;60;20221207;070000;6.9776000;6.9858000;6.9756000;6.9815000;201
USDCNY;60;20221207;080000;6.9815000;6.9830000;6.9793000;6.9817000;171
USDCNY;60;20221207;090000;6.9817000;6.9817000;6.9712000;6.9756000;258
USDCNY;60;20221207;100000;6.9756000;6.9860000;6.9734000;6.9792000;279
USDCNY;60;20221207;110000;6.9792000;6.9889000;6.9775000;6.9799000;234
USDCNY;60;20221207;120000;6.9799000;6.9826000;6.9745000;6.9763000;219
USDCNY;60;20221207;130000;6.9763000;6.9805000;6.9760000;6.9788000;164
USDCNY;60;20221207;140000;6.9788000;6.9802000;6.9769000;6.9769000;148
USDCNY;60;20221207;150000;6.9769000;6.9800000;6.9756000;6.9765000;143
USDCNY;60;20221207;160000;6.9765000;6.9770000;6.9759000;6.9759000;36
USDCNY;60;20221207;170000;6.9767000;6.9785000;6.9750000;6.9750000;28
USDCNY;60;20221207;180000;6.9734000;6.9734000;6.9702000;6.9702000;5
USDCNY;60;20221207;190000;6.9702000;6.9702000;6.9702000;6.9702000;3
