<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;60;20221206;060000;61.5750000;62.2000000;61.5750000;62.2000000;2
USDRUB;60;20221206;080000;62.4500000;63.1500000;62.4500000;62.9000000;7
USDRUB;60;20221206;090000;63.0000000;63.1500000;62.9000000;63.1500000;8
USDRUB;60;20221206;100000;63.0000000;63.4970000;62.9500000;63.1000000;15
USDRUB;60;20221206;110000;63.1000000;63.2470000;62.0000000;62.8500000;25
USDRUB;60;20221206;120000;62.8000000;63.2970000;62.1250000;62.8800000;49
USDRUB;60;20221206;130000;62.5830000;63.5470000;62.1500000;62.9500000;56
USDRUB;60;20221206;140000;63.3470000;63.5720000;62.1250000;63.0970000;1448
USDRUB;60;20221206;150000;63.0970000;63.1720000;62.7450000;63.0970000;2319
USDRUB;60;20221206;160000;63.0970000;63.0970000;62.8480000;63.0970000;2281
USDRUB;60;20221206;170000;63.0970000;63.0970000;62.0970000;62.9470000;2149
USDRUB;60;20221206;180000;62.9470000;62.9470000;62.6900000;62.9470000;2359
USDRUB;60;20221206;190000;62.9470000;63.1720000;62.0000000;63.0690000;838
USDRUB;60;20221206;200000;63.1470000;63.1470000;62.0250000;63.0220000;1270
USDRUB;60;20221206;210000;62.0750000;63.0720000;62.0750000;63.0720000;219
USDRUB;60;20221206;220000;63.0720000;63.0720000;63.0720000;63.0720000;2355
USDRUB;60;20221206;230000;63.0720000;63.3970000;63.0720000;63.3970000;1143
USDRUB;60;20221207;000000;62.4000000;62.4000000;62.4000000;62.4000000;1
USDRUB;60;20221207;020000;62.4000000;62.4000000;62.4000000;62.4000000;1
USDRUB;60;20221207;030000;62.4000000;62.4000000;62.4000000;62.4000000;5
USDRUB;60;20221207;050000;62.0220000;62.0220000;62.0220000;62.0220000;1
USDRUB;60;20221207;060000;60.7500000;61.7470000;60.7500000;61.7470000;2
USDRUB;60;20221207;080000;63.2000000;63.2000000;63.1000000;63.1000000;3
USDRUB;60;20221207;090000;63.0500000;63.1000000;63.0500000;63.1000000;3
USDRUB;60;20221207;100000;63.1500000;63.2000000;63.0000000;63.0100000;6
USDRUB;60;20221207;110000;62.9970000;63.2470000;61.8720000;63.0720000;984
USDRUB;60;20221207;120000;63.0720000;63.1970000;62.0750000;63.1970000;2325
USDRUB;60;20221207;130000;63.1970000;63.2470000;62.1500000;62.9000000;1587
USDRUB;60;20221207;140000;63.2470000;63.3470000;62.2000000;62.8500000;653
