<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDTRY;60;20221206;010000;18.6240000;18.6980000;18.5991000;18.6270000;6735
USDTRY;60;20221206;020000;18.6317700;18.6451000;18.5936700;18.6204000;2239
USDTRY;60;20221206;030000;18.6192400;18.6413000;18.5942500;18.6230000;8243
USDTRY;60;20221206;040000;18.6214900;18.6600000;18.6075000;18.6257000;18945
USDTRY;60;20221206;050000;18.6390000;18.6411000;18.6075000;18.6323000;17549
USDTRY;60;20221206;060000;18.6249000;18.6348000;18.6119100;18.6263000;35423
USDTRY;60;20221206;070000;18.6146400;18.6439000;18.6122100;18.6259600;39924
USDTRY;60;20221206;080000;18.6257000;18.6395000;18.6114500;18.6282700;27385
USDTRY;60;20221206;090000;18.6304000;18.6358000;18.6119900;18.6274000;32857
USDTRY;60;20221206;100000;18.6268100;18.6380000;18.6068000;18.6343900;12203
USDTRY;60;20221206;110000;18.6348000;18.6424000;18.6210000;18.6360900;21834
USDTRY;60;20221206;120000;18.6384600;18.6410000;18.6268000;18.6369000;18283
USDTRY;60;20221206;130000;18.6370000;18.6390000;18.6270000;18.6380000;16788
USDTRY;60;20221206;140000;18.6375700;18.6392000;18.6273000;18.6365000;10324
USDTRY;60;20221206;190000;18.6362000;18.6451500;18.6268000;18.6337000;10086
USDTRY;60;20221206;200000;18.6335100;18.6363600;18.6092400;18.6321000;8290
USDTRY;60;20221206;210000;18.6320100;18.6362000;18.6173500;18.6308100;4628
USDTRY;60;20221206;220000;18.6293800;18.6350000;18.6100000;18.6242700;3493
USDTRY;60;20221206;230000;18.6245300;18.6363600;18.6176600;18.6288000;6568
USDTRY;60;20221207;000000;18.6237900;18.6320000;18.6157800;18.6257000;3046
USDTRY;60;20221207;010000;18.6259600;18.6468000;18.6036000;18.6248000;3583
USDTRY;60;20221207;020000;18.6169700;18.6509000;18.5878400;18.6276000;3171
USDTRY;60;20221207;030000;18.6152000;18.6330000;18.5940000;18.6151000;7047
USDTRY;60;20221207;040000;18.6218400;18.6330000;18.6059200;18.6202500;4250
USDTRY;60;20221207;050000;18.6231600;18.6340000;18.6059300;18.6229000;4433
USDTRY;60;20221207;060000;18.6273000;18.6330000;18.6080000;18.6243000;4562
USDTRY;60;20221207;070000;18.6231600;18.6330000;18.6080000;18.6198500;4692
USDTRY;60;20221207;080000;18.6178900;18.6320000;18.6069000;18.6253000;5176
USDTRY;60;20221207;090000;18.6231600;18.6330000;18.6061000;18.6247000;7131
USDTRY;60;20221207;100000;18.6080000;18.6380000;18.6080000;18.6314000;9455
USDTRY;60;20221207;180000;18.6338100;18.6413400;18.6100000;18.6393000;11579
USDTRY;60;20221207;190000;18.6392800;18.6469000;18.6278900;18.6416800;7789
USDTRY;60;20221207;200000;18.6411600;18.6450000;18.6145000;18.6363000;8224
USDTRY;60;20221207;210000;18.6358900;18.6401600;18.6160500;18.6324000;5268
USDTRY;60;20221207;220000;18.6268000;18.6399800;18.6159800;18.6353000;3502
USDTRY;60;20221207;230000;18.6363000;18.6408000;18.6205900;18.6298500;5296
USDTRY;60;20221208;000000;18.6310100;18.6377000;18.6208600;18.6322000;3611
USDTRY;60;20221208;010000;18.6209400;18.6806000;18.6120000;18.6260000;4778
USDTRY;60;20221208;020000;18.6354000;18.6632000;18.6011000;18.6379000;2187
USDTRY;60;20221208;030000;18.6347700;18.6578000;18.6072000;18.6338000;8595
USDTRY;60;20221208;040000;18.6224500;18.6606000;18.6043000;18.6245900;9401
USDTRY;60;20221208;050000;18.6253300;18.6484000;18.6045000;18.6283900;10675
USDTRY;60;20221208;060000;18.6275600;18.6438000;18.6112400;18.6333000;11140
USDTRY;60;20221208;070000;18.6301700;18.6442000;18.6060000;18.6359000;10914
USDTRY;60;20221208;080000;18.6366900;18.6436000;18.6130000;18.6285700;9077
USDTRY;60;20221208;090000;18.6288300;18.6406000;18.6131000;18.6364000;7845
USDTRY;60;20221208;100000;18.6306300;18.6400000;18.6135000;18.6311500;7707
USDTRY;60;20221208;110000;18.6273600;18.6860000;18.6029000;18.6436500;14221
USDTRY;60;20221208;120000;18.6439100;18.6539800;18.6335000;18.6458000;11993
USDTRY;60;20221208;130000;18.6474100;18.6500000;18.6330000;18.6424000;11499
